"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Successful Login","Ali Pala","9/2/2019 7:34 PM","","","High","","Test Cases","0","","Master","S1","Functional","Ali Pala","9/5/2019 11:36 AM"
"C2","Failed Login","Ali Pala","9/2/2019 7:34 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 7:34 PM"
"C3","Successful Logout from Home","Ali Pala","9/2/2019 7:39 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/6/2019 9:08 PM"
"C4","Welcome ""user name"" Click","Ali Pala","9/2/2019 7:41 PM","","","Low","","Test Cases","0","","Master","S1","Functional","Ali Pala","9/3/2019 11:32 AM"
"C5","Add Case","Ali Pala","9/2/2019 7:53 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/6/2019 5:40 PM"
"C12","Discard Case without Saving","Ali Pala","9/2/2019 8:08 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/4/2019 1:12 PM"
"C6","Edit Case","Ali Pala","9/2/2019 7:59 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/6/2019 11:48 AM"
"C7","Delete Case","Ali Pala","9/2/2019 7:59 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/5/2019 12:02 PM"
"C8","Filter Case","Ali Pala","9/2/2019 8:00 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/7/2019 6:54 PM"
"C9","Add Levy","Ali Pala","9/2/2019 8:05 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:05 PM"
"C10","Export Levy","Ali Pala","9/2/2019 8:08 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:08 PM"
"C11","Discard Levy without Saving","Ali Pala","9/2/2019 8:08 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:09 PM"
"C13","Add Expense","Ali Pala","9/2/2019 8:12 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:12 PM"
"C14","Add Remainder","Ali Pala","9/2/2019 8:13 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:13 PM"
"C15","Filter Expense Record","Ali Pala","9/2/2019 8:14 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:14 PM"
"C16","Pagination Expense Records","Ali Pala","9/2/2019 8:14 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:14 PM"
"C17","Filter Calendar - Genel","Ali Pala","9/2/2019 8:22 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:22 PM"
"C18","Filter Calendar - Duruşma Günü","Ali Pala","9/2/2019 8:22 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:22 PM"
"C19","Filter Calendar - Yapılacak İşler","Ali Pala","9/2/2019 8:23 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:23 PM"
"C20","Filter Calendar - İzinler","Ali Pala","9/2/2019 8:23 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:23 PM"
"C21","Add New Calendar Event","Ali Pala","9/2/2019 8:23 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:23 PM"
"C22","Discard New Calendat Event","Ali Pala","9/2/2019 8:23 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:23 PM"
"C23","Filter Calendar by User","Ali Pala","9/2/2019 8:24 PM","","","Medium","","Test Cases","0","","Master","S1","Other","Ali Pala","9/2/2019 8:24 PM"
